animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
A842196,*Morrisey,2021-10-26T17:44:00.000,2021-10-26T17:44:00.000,2020-09-11T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Pit Bull,Brown/White,
A844382,,2021-10-26T17:34:00.000,2021-10-26T17:34:00.000,2021-08-15T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby,
A844080,*Ender,2021-10-26T17:29:00.000,2021-10-26T17:29:00.000,2021-02-11T00:00:00.000,Adoption,Dog,Neutered Male,8 months,Catahoula,Brown Merle/White,
A844794,*Quail,2021-10-26T17:24:00.000,2021-10-26T17:24:00.000,2021-08-20T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Yellow,
A845172,127 G,2021-10-26T17:18:00.000,2021-10-26T17:18:00.000,2021-10-19T00:00:00.000,Transfer,Cat,Intact Male,1 week,Domestic Shorthair,Black/Black,Partner
A844848,Leo,2021-10-26T17:18:00.000,2021-10-26T17:18:00.000,2021-07-21T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Labrador Retriever/German Shepherd,White,
A845162,186 G,2021-10-26T17:18:00.000,2021-10-26T17:18:00.000,2021-10-11T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray Tabby,Partner
A845161,252 G,2021-10-26T17:17:00.000,2021-10-26T17:17:00.000,2021-10-11T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair,Torbie,Partner
A845160,251 G,2021-10-26T17:17:00.000,2021-10-26T17:17:00.000,2021-10-11T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby,Partner
A843511,*Romeo,2021-10-26T17:11:00.000,2021-10-26T17:11:00.000,2019-10-02T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby,
A842816,*Krampus,2021-10-26T17:06:00.000,2021-10-26T17:06:00.000,2014-09-22T00:00:00.000,Adoption,Dog,Neutered Male,7 years,German Shepherd,Tan/Black,
A844812,A844812,2021-10-26T16:57:00.000,2021-10-26T16:57:00.000,2021-06-20T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Beagle,Tan,
A844771,,2021-10-26T16:57:00.000,2021-10-26T16:57:00.000,2021-05-20T00:00:00.000,Adoption,Dog,Spayed Female,5 months,Chihuahua Shorthair/Dachshund,White/Black,
A845022,,2021-10-26T16:55:00.000,2021-10-26T16:55:00.000,2021-02-24T00:00:00.000,Euthanasia,Dog,Spayed Female,NULL,Australian Cattle Dog Mix,White/Red Merle,Medical
A844572,,2021-10-26T16:46:00.000,2021-10-26T16:46:00.000,2020-10-17T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Catahoula/Great Pyrenees,Brown Merle/White,
A844815,Kaash,2021-10-26T16:42:00.000,2021-10-26T16:42:00.000,2021-08-20T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Catahoula Mix,Blue Merle/White,
A843413,*Winnie,2021-10-26T16:26:00.000,2021-10-26T16:26:00.000,2021-08-17T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,Foster
A844944,Raven,2021-10-26T16:15:00.000,2021-10-26T16:15:00.000,2021-05-22T00:00:00.000,Adoption,Dog,Spayed Female,5 months,Pit Bull Mix,Black/White,
A845070,A845070,2021-10-26T16:03:00.000,2021-10-26T16:03:00.000,2021-08-12T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,White/Brown Tabby,
A844932,,2021-10-26T15:43:00.000,2021-10-26T15:43:00.000,2019-10-22T00:00:00.000,Disposal,Dog,Intact Male,2 years,Chihuahua Shorthair,White/Brown,
A839319,,2021-10-26T15:27:00.000,2021-10-26T15:27:00.000,2021-07-14T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,Foster
A839320,,2021-10-26T15:27:00.000,2021-10-26T15:27:00.000,2021-07-14T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby,Foster
A845126,Alita,2021-10-26T15:21:00.000,2021-10-26T15:21:00.000,2019-10-25T00:00:00.000,Return to Owner,Cat,Spayed Female,2 years,Domestic Shorthair,Torbie,
A845125,Boh,2021-10-26T15:20:00.000,2021-10-26T15:20:00.000,2019-10-25T00:00:00.000,Return to Owner,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby,
A833010,Odie,2021-10-26T14:57:00.000,2021-10-26T14:57:00.000,2020-04-22T00:00:00.000,Rto-Adopt,Dog,Neutered Male,1 year,Mastiff Mix,Brown/White,
A842172,Sunderlin,2021-10-26T14:48:00.000,2021-10-26T14:48:00.000,2016-09-10T00:00:00.000,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White,
A830449,Ruffy,2021-10-26T14:30:00.000,2021-10-26T14:30:00.000,2020-01-09T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/German Shepherd,Black,
A804784,Diamond,2021-10-26T14:07:00.000,2021-10-26T14:07:00.000,2016-09-20T00:00:00.000,Adoption,Dog,Spayed Female,5 years,Staffordshire Mix,White/Black,Foster
A842330,Sirius,2021-10-26T14:07:00.000,2021-10-26T14:07:00.000,2018-09-14T00:00:00.000,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black/White,
A841369,*Mozart,2021-10-26T13:36:00.000,2021-10-26T13:36:00.000,2021-08-04T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black Smoke,Foster
A841370,*Bach,2021-10-26T13:35:00.000,2021-10-26T13:35:00.000,2021-08-04T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black Tabby,Foster
A841574,*Esmerelda,2021-10-26T13:33:00.000,2021-10-26T13:33:00.000,2021-07-30T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point/White,Foster
A843315,Buttercup,2021-10-26T13:31:00.000,2021-10-26T13:31:00.000,2020-12-29T00:00:00.000,Adoption,Other,Intact Female,9 months,Rex,Tricolor,Foster
A843314,Cottontail,2021-10-26T13:30:00.000,2021-10-26T13:30:00.000,2020-12-29T00:00:00.000,Adoption,Other,Intact Female,9 months,Rex,Brown/White,Foster
A842568,Peggy Sue,2021-10-26T13:26:00.000,2021-10-26T13:26:00.000,2014-03-17T00:00:00.000,Adoption,Dog,Spayed Female,7 years,Border Collie/Australian Shepherd,White/Black,Foster
A840261,*Charlie,2021-10-26T13:24:00.000,2021-10-26T13:24:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Cream Tabby,Foster
A840263,*Sally,2021-10-26T13:23:00.000,2021-10-26T13:23:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair,Agouti/White,Foster
A840896,*Scooter,2021-10-26T13:04:00.000,2021-10-26T13:04:00.000,2021-07-02T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Cairn Terrier,Tan,Foster
A844471,Zeus,2021-10-26T12:25:00.000,2021-10-26T12:25:00.000,2021-05-16T00:00:00.000,Return to Owner,Dog,Neutered Male,5 months,Rottweiler Mix,Black/Tan,
A845014,A845014,2021-10-26T12:20:00.000,2021-10-26T12:20:00.000,2021-09-06T00:00:00.000,Died,Cat,Intact Male,1 month,Domestic Longhair,Cream/White,In Kennel
A845023,Marley,2021-10-26T12:18:00.000,2021-10-26T12:18:00.000,2018-06-26T00:00:00.000,Return to Owner,Dog,Neutered Male,3 years,Rottweiler/German Shepherd,Black/Brown,
A843554,*Benji,2021-10-26T10:31:00.000,2021-10-26T10:31:00.000,2019-10-03T00:00:00.000,Died,Dog,Neutered Male,2 years,Border Terrier Mix,Brown,In Foster
A844460,*Birch,2021-10-26T10:19:00.000,2021-10-26T10:19:00.000,2021-09-16T00:00:00.000,Died,Cat,Intact Male,1 month,Domestic Shorthair,White/Brown Tabby,In Foster
A840200,*Bean,2021-10-26T09:52:00.000,2021-10-26T09:52:00.000,2019-08-03T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,Foster
A845053,,2021-10-26T08:15:00.000,2021-10-26T08:15:00.000,2020-10-25T00:00:00.000,Disposal,Other,Unknown,1 year,Raccoon,Brown/Black,
A841509,*Cricket,2021-10-25T19:31:00.000,2021-10-25T19:31:00.000,2020-08-28T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Medium Hair,Brown Tabby,
A845083,Koda,2021-10-25T19:07:00.000,2021-10-25T19:07:00.000,2021-05-25T00:00:00.000,Return to Owner,Dog,Intact Male,5 months,Alaskan Husky,Brown/White,
A844869,Zoey,2021-10-25T19:02:00.000,2021-10-25T19:02:00.000,2021-04-21T00:00:00.000,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair,Calico,
A844738,Atlas,2021-10-25T18:48:00.000,2021-10-25T18:48:00.000,2021-08-13T00:00:00.000,Adoption,Dog,Neutered Male,2 months,Anatol Shepherd,Brown,
A845109,Gordo,2021-10-25T18:43:00.000,2021-10-25T18:43:00.000,2017-05-25T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Yorkshire Terrier/Standard Schnauzer,Tan/Gray,
A843644,*Rose,2021-10-25T18:42:00.000,2021-10-25T18:42:00.000,2021-04-04T00:00:00.000,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie,
A841867,*Conan,2021-10-25T18:30:00.000,2021-10-25T18:30:00.000,2021-04-04T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair,Orange Tabby,
A844737,Luna,2021-10-25T18:23:00.000,2021-10-25T18:23:00.000,2021-08-13T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Anatol Shepherd,Brown,
A844712,Mocho,2021-10-25T18:21:00.000,2021-10-25T18:21:00.000,2019-10-20T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Chocolate/Tan,
A844735,A844735,2021-10-25T18:07:00.000,2021-10-25T18:07:00.000,2021-08-13T00:00:00.000,Adoption,Dog,Spayed Female,2 months,Anatol Shepherd,Brown,
A843340,*Almond Joy,2021-10-25T17:49:00.000,2021-10-25T17:49:00.000,2021-08-17T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,
A844664,Nova,2021-10-25T17:47:00.000,2021-10-25T17:47:00.000,2019-10-21T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Border Collie Mix,Black/White,
A844698,,2021-10-25T17:41:00.000,2021-10-25T17:41:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White,
A844790,Niki,2021-10-25T17:33:00.000,2021-10-25T17:33:00.000,2020-04-20T00:00:00.000,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Tortie,
A844380,,2021-10-25T17:32:00.000,2021-10-25T17:32:00.000,2021-08-15T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,
A844868,Grey,2021-10-25T17:24:00.000,2021-10-25T17:24:00.000,2021-04-21T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair,Blue,
A843960,*Fancy,2021-10-25T17:15:00.000,2021-10-25T17:15:00.000,2020-12-09T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Border Collie Mix,Black,
A844661,Maddie,2021-10-25T17:12:00.000,2021-10-25T17:12:00.000,2019-10-18T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Brown/Tan,
A843947,A843947,2021-10-25T17:05:00.000,2021-10-25T17:05:00.000,2021-08-18T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,
A845091,294 G,2021-10-25T17:00:00.000,2021-10-25T17:00:00.000,2021-10-10T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby/White,Partner
A845093,257 G,2021-10-25T17:00:00.000,2021-10-25T17:00:00.000,2021-10-10T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue,Partner
A845090,292 G,2021-10-25T17:00:00.000,2021-10-25T17:00:00.000,2021-10-10T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair,Cream Tabby,Partner
A845092,173 G,2021-10-25T17:00:00.000,2021-10-25T17:00:00.000,2021-10-10T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair,Tortie,Partner
A845089,243 G,2021-10-25T17:00:00.000,2021-10-25T17:00:00.000,2021-10-10T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair,Orange Tabby,Partner
A844728,A844728,2021-10-25T16:58:00.000,2021-10-25T16:58:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair,Tortie Point/White,
A844407,*Hans,2021-10-25T16:58:00.000,2021-10-25T16:58:00.000,2021-01-15T00:00:00.000,Adoption,Dog,Neutered Male,9 months,Rottweiler,Black/Brown,
A844731,A844731,2021-10-25T16:55:00.000,2021-10-25T16:55:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Flame Point/White,
A844775,A844775,2021-10-25T16:44:00.000,2021-10-25T16:44:00.000,2021-05-29T00:00:00.000,Adoption,Dog,Spayed Female,4 months,Labrador Retriever Mix,Tan,
A844644,A844644,2021-10-25T16:36:00.000,2021-10-25T16:36:00.000,2021-06-03T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,
A844062,*Tegan,2021-10-25T16:27:00.000,2021-10-25T16:27:00.000,2021-08-27T00:00:00.000,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black/White,
A844666,A844666,2021-10-25T16:18:00.000,2021-10-25T16:18:00.000,2021-05-04T00:00:00.000,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Blue Tabby,
A843312,*Harry,2021-10-25T16:18:00.000,2021-10-25T16:18:00.000,2017-10-05T00:00:00.000,Adoption,Dog,Neutered Male,4 years,Labrador Retriever Mix,Tan,
A844643,Nobu,2021-10-25T16:17:00.000,2021-10-25T16:17:00.000,2021-06-03T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Siamese Mix,Lynx Point,
A844390,*Sadie,2021-10-25T16:06:00.000,2021-10-25T16:06:00.000,2020-10-15T00:00:00.000,Transfer,Dog,Intact Female,1 year,Siberian Husky,White/Black,Out State
A840463,*Duke,2021-10-25T16:05:00.000,2021-10-25T16:05:00.000,2020-02-09T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Labrador Retriever,White,Foster
A840487,*Jill,2021-10-25T16:02:00.000,2021-10-25T16:02:00.000,2021-04-25T00:00:00.000,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair,Brown Tabby,
A844769,A844769,2021-10-25T15:52:00.000,2021-10-25T15:52:00.000,2021-08-20T00:00:00.000,Adoption,Dog,Spayed Female,2 months,German Shepherd,Brown/Black,
A844982,,2021-10-25T15:39:00.000,2021-10-25T15:39:00.000,2019-10-23T00:00:00.000,Return to Owner,Cat,Neutered Male,2 years,Domestic Shorthair,Black/White,
A844950,Willy,2021-10-25T15:24:00.000,2021-10-25T15:24:00.000,2011-10-23T00:00:00.000,Return to Owner,Dog,Neutered Male,10 years,Chihuahua Shorthair,White/Black,
A839209,Bella,2021-10-25T15:15:00.000,2021-10-25T15:15:00.000,2018-07-18T00:00:00.000,Transfer,Dog,Spayed Female,3 years,German Shepherd Mix,Brown/Black,Partner
A845058,Lucas,2021-10-25T15:14:00.000,2021-10-25T15:14:00.000,2019-10-25T00:00:00.000,Return to Owner,Dog,Intact Male,2 years,Boxer Mix,White/Tan,
A845059,Pitufa,2021-10-25T15:10:00.000,2021-10-25T15:10:00.000,2020-12-25T00:00:00.000,Return to Owner,Dog,Intact Female,9 months,Bull Terrier Mix,Brown Brindle/White,
A845060,Rexito,2021-10-25T15:04:00.000,2021-10-25T15:04:00.000,2020-12-25T00:00:00.000,Return to Owner,Dog,Intact Male,9 months,Bull Terrier Mix,Brown Brindle/White,
A841712,*Phil,2021-10-25T14:33:00.000,2021-10-25T14:33:00.000,2020-09-01T00:00:00.000,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,
A844386,,2021-10-25T14:06:00.000,2021-10-25T14:06:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby,
A844385,,2021-10-25T14:06:00.000,2021-10-25T14:06:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby,
A844952,Luna,2021-10-25T13:54:00.000,2021-10-25T13:54:00.000,2021-09-08T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Calico,Partner
A844827,A844827,2021-10-25T13:53:00.000,2021-10-25T13:53:00.000,2020-10-21T00:00:00.000,Transfer,Cat,Intact Female,1 year,Domestic Shorthair,Gray Tabby,Partner
A838460,Meow Meow,2021-10-25T13:53:00.000,2021-10-25T13:53:00.000,2014-07-08T00:00:00.000,Transfer,Cat,Neutered Male,7 years,Domestic Shorthair,Blue Tabby,Partner
A844802,A844802,2021-10-25T13:53:00.000,2021-10-25T13:53:00.000,2021-08-05T00:00:00.000,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black,Partner
A842890,,2021-10-25T13:52:00.000,2021-10-25T13:52:00.000,2021-08-22T00:00:00.000,Transfer,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby,Partner
A842891,,2021-10-25T13:52:00.000,2021-10-25T13:52:00.000,2021-08-22T00:00:00.000,Transfer,Cat,Intact Female,2 months,Domestic Shorthair,Blue Tabby,Partner
A842401,*Ken,2021-10-25T13:32:00.000,2021-10-25T13:32:00.000,2021-08-06T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Black,
A844840,,2021-10-25T13:03:00.000,2021-10-25T13:03:00.000,2019-10-21T00:00:00.000,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair,Black,
A844153,Sparky,2021-10-25T13:00:00.000,2021-10-25T13:00:00.000,2011-04-13T00:00:00.000,Adoption,Dog,Neutered Male,10 years,Golden Retriever Mix,Red/White,
A844660,,2021-10-25T12:21:00.000,2021-10-25T12:21:00.000,2010-10-18T00:00:00.000,Transfer,Dog,Spayed Female,11 years,Maltese Mix,White,Partner
A795840,Princess,2021-10-25T12:16:00.000,2021-10-25T12:16:00.000,2018-07-25T00:00:00.000,Return to Owner,Dog,Spayed Female,3 years,Catahoula Mix,White/Blue Merle,
A844874,,2021-10-25T12:14:00.000,2021-10-25T12:14:00.000,2016-10-21T00:00:00.000,Transfer,Dog,Neutered Male,5 years,Yorkshire Terrier Mix,Gold,Partner
A844837,,2021-10-25T12:14:00.000,2021-10-25T12:14:00.000,2021-02-21T00:00:00.000,Transfer,Dog,Intact Female,8 months,Miniature Schnauzer Mix,Black/White,Partner
A844607,Tammy,2021-10-25T11:50:00.000,2021-10-25T11:50:00.000,2021-07-18T00:00:00.000,Died,Cat,Intact Female,3 months,Siamese,Tortie Point,In Kennel
A523770,Mica,2021-10-25T10:15:00.000,2021-10-25T10:15:00.000,2007-12-06T00:00:00.000,Transfer,Cat,Spayed Female,13 years,Domestic Shorthair Mix,Cream Tabby,Partner
A844695,A844695,2021-10-25T09:00:00.000,2021-10-25T09:00:00.000,2021-02-19T00:00:00.000,Transfer,Cat,Intact Male,8 months,Domestic Longhair Mix,Cream Tabby,Snr
A844693,A844693,2021-10-25T09:00:00.000,2021-10-25T09:00:00.000,2021-02-19T00:00:00.000,Transfer,Cat,Intact Male,8 months,Domestic Longhair Mix,Orange Tabby/White,Snr
A844449,,2021-10-25T09:00:00.000,2021-10-25T09:00:00.000,2019-10-16T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair,Gray/White,Snr
A844845,,2021-10-25T09:00:00.000,2021-10-25T09:00:00.000,2021-01-21T00:00:00.000,Transfer,Cat,Intact Female,9 months,Domestic Shorthair,Torbie,Snr
A844694,A844694,2021-10-25T09:00:00.000,2021-10-25T09:00:00.000,2021-02-19T00:00:00.000,Transfer,Cat,Intact Male,8 months,Domestic Longhair Mix,Cream Tabby,Snr
A843937,*Nona,2021-10-24T19:01:00.000,2021-10-24T19:01:00.000,2021-03-08T00:00:00.000,Adoption,Dog,Spayed Female,7 months,Blue Lacy Mix,Blue/White,
A844610,*Tyrone,2021-10-24T18:08:00.000,2021-10-24T18:08:00.000,2021-05-18T00:00:00.000,Adoption,Dog,Neutered Male,5 months,Doberman Pinsch Mix,Tricolor,
A836306,*Raspberry,2021-10-24T17:12:00.000,2021-10-24T17:12:00.000,2021-04-15T00:00:00.000,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black,
A845008,,2021-10-24T16:59:00.000,2021-10-24T16:59:00.000,2019-10-24T00:00:00.000,Euthanasia,Other,Unknown,2 years,Raccoon,Gray/Black,Rabies Risk
A844388,,2021-10-24T16:59:00.000,2021-10-24T16:59:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby,
A782562,Bakugo,2021-10-24T16:30:00.000,2021-10-24T16:30:00.000,2018-08-02T00:00:00.000,Transfer,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby,Partner
A843774,*Greg,2021-10-24T16:10:00.000,2021-10-24T16:10:00.000,2021-07-18T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,
A844746,Mack,2021-10-24T15:48:00.000,2021-10-24T15:48:00.000,2021-06-19T00:00:00.000,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair,Lynx Point,
A843982,*Swan,2021-10-24T15:43:00.000,2021-10-24T15:43:00.000,2021-08-09T00:00:00.000,Transfer,Dog,Intact Female,2 months,Chihuahua Shorthair,Tan,Partner
A837455,*Charles,2021-10-24T15:23:00.000,2021-10-24T15:23:00.000,2018-06-23T00:00:00.000,Adoption,Dog,Neutered Male,3 years,Pit Bull,Blue/White,
A836678,Smoke,2021-10-24T14:32:00.000,2021-10-24T14:32:00.000,2020-08-13T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Pit Bull,Blue/White,
A841048,Jojo,2021-10-24T14:28:00.000,2021-10-24T14:28:00.000,2021-07-06T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby,
A841498,Dwayne,2021-10-24T14:00:00.000,2021-10-24T14:00:00.000,2019-08-28T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Belgian Malinois,Brown/Black,
A666900,Acorn,2021-10-24T13:33:00.000,2021-10-24T13:33:00.000,2012-11-08T00:00:00.000,Adoption,Dog,Neutered Male,8 years,Miniature Schnauzer Mix,Gray,
A844772,Thanos,2021-10-24T12:04:00.000,2021-10-24T12:04:00.000,2008-10-20T00:00:00.000,Transfer,Dog,Intact Male,13 years,Rat Terrier,White/Tricolor,Partner
A844409,A844409,2021-10-24T11:38:00.000,2021-10-24T11:38:00.000,2020-10-15T00:00:00.000,Transfer,Dog,Intact Female,1 year,Pug,Fawn/Black,Partner
A840397,*Bolin,2021-10-24T11:36:00.000,2021-10-24T11:36:00.000,2019-08-06T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Carolina Dog,Tan/White,
A844947,,2021-10-24T11:18:00.000,2021-10-24T11:18:00.000,2019-10-22T00:00:00.000,Euthanasia,Other,Unknown,2 years,Bat,Brown,Rabies Risk
A844992,,2021-10-24T11:01:00.000,2021-10-24T11:01:00.000,2021-07-24T00:00:00.000,Euthanasia,Cat,Unknown,NULL,Domestic Shorthair,Black/White,Suffering
A843726,Frost,2021-10-23T19:21:00.000,2021-10-23T19:21:00.000,2021-01-05T00:00:00.000,Adoption,Dog,Neutered Male,9 months,German Shepherd Mix,Tricolor,
A844702,Nieves,2021-10-23T18:36:00.000,2021-10-23T18:36:00.000,2020-12-19T00:00:00.000,Adoption,Dog,Spayed Female,10 months,Labrador Retriever,White/Black,
A844288,Fuego,2021-10-23T18:32:00.000,2021-10-23T18:32:00.000,2015-10-14T00:00:00.000,Adoption,Dog,Neutered Male,6 years,Labrador Retriever Mix,White/Tan,
A844387,,2021-10-23T18:31:00.000,2021-10-23T18:31:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby,
A844867,Rage,2021-10-23T18:08:00.000,2021-10-23T18:08:00.000,2020-10-21T00:00:00.000,Return to Owner,Dog,Intact Male,1 year,Pit Bull Mix,Black/White,
A840861,*Henry,2021-10-23T17:38:00.000,2021-10-23T17:38:00.000,2021-07-10T00:00:00.000,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair,Blue,Foster
A844410,A844410,2021-10-23T17:09:00.000,2021-10-23T17:09:00.000,2021-07-01T00:00:00.000,Adoption,Dog,Neutered Male,3 months,Labrador Retriever Mix,Brown/White,
A844981,,2021-10-23T16:57:00.000,2021-10-23T16:57:00.000,2020-10-23T00:00:00.000,Euthanasia,Other,Unknown,NULL,Raccoon,Black/White,Rabies Risk
A844973,,2021-10-23T16:56:00.000,2021-10-23T16:56:00.000,2019-10-23T00:00:00.000,Euthanasia,Other,Unknown,NULL,Raccoon,Black/Gray,Rabies Risk
A844133,*Ella,2021-10-23T16:56:00.000,2021-10-23T16:56:00.000,2021-09-02T00:00:00.000,Transfer,Cat,Intact Female,1 month,Domestic Shorthair,Torbie,Partner
A843867,*Sprinkles,2021-10-23T16:56:00.000,2021-10-23T16:56:00.000,2019-10-07T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Border Collie/Labrador Retriever,Black/White,
A844970,275 Grams,2021-10-23T16:35:00.000,2021-10-23T16:35:00.000,2021-10-08T00:00:00.000,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby,Partner
A844364,A844364,2021-10-23T16:31:00.000,2021-10-23T16:31:00.000,2020-10-15T00:00:00.000,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,
A844957,Chloe,2021-10-23T16:29:00.000,2021-10-23T16:29:00.000,2010-10-23T00:00:00.000,Return to Owner,Dog,Spayed Female,11 years,Maltese/Yorkshire Terrier,White,
A844706,Mateo,2021-10-23T16:13:00.000,2021-10-23T16:13:00.000,2021-02-19T00:00:00.000,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair,Brown Tabby,
A844110,*Finn,2021-10-23T15:45:00.000,2021-10-23T15:45:00.000,2019-10-12T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Siberian Husky Mix,Black/White,
A844384,,2021-10-23T15:41:00.000,2021-10-23T15:41:00.000,2021-07-31T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby,
A843522,*Pinto Bean,2021-10-23T15:31:00.000,2021-10-23T15:31:00.000,2019-10-02T00:00:00.000,Adoption,Dog,Neutered Male,2 years,Catahoula Mix,Blue Merle/White,
A842127,*Cherry,2021-10-23T14:47:00.000,2021-10-23T14:47:00.000,2021-07-27T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
A842125,*Apricot,2021-10-23T14:46:00.000,2021-10-23T14:46:00.000,2021-07-27T00:00:00.000,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,Foster
